function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
uECC_vli_mult,00010000,arm,gcc,O2,1,1,0,0,16,22,8,4,2,0.18181818181818182,6.4375,1,9,103,0.6207689728778399,0.02707615873916214,296,6,0.09876543209876543,0.01646090534979424,0.0720164609053498,0.0,0.00411522633744856,0.03292181069958848,0,0,56,24,56,81,0.0720164609053498,6.141870282037554,2.1878068108694233,0.07766990291262135,79,unknown,7,15,4,0.045454545454545456,unknown,1,unknown
vli_mmod_fast_secp256r1,00010130,arm,gcc,O2,1,1,0,0,37,55,20,4,3,0.07272727272727272,9.054054054054054,2,27,335,0.7273854313752425,0.014799818962709148,750,18,0.13819875776397517,0.021739130434782608,0.12189440993788819,0.0,0.0,0.003105590062111801,0,0,64,32,40,236,0.12189440993788819,6.209351748362129,2.0141774266467967,0.05970149253731343,100,unknown,19,36,4,0.4727272727272727,unknown,1,unknown
vli_modInv_update,00010468,arm,gcc,O2,1,1,0,0,14,20,8,3,3,0.15,3.5,2,14,49,0.4906195791765179,0.04776249638252206,198,6,0.06859205776173286,0.04332129963898917,0.07220216606498195,0.0,0.0,0.02527075812274368,0,0,0,19,33,38,0.07220216606498195,5.710441572689807,1.9779779276452096,0.16326530612244897,46,unknown,8,12,3,0.35,unknown,1,unknown
uECC_curve_private_key_size,00010500,arm,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,7.0,2,1,7,1.1991859343446492,0.1111111111111111,36,0,0.06666666666666667,0.06666666666666667,0.022222222222222223,0.0,0.0,0.044444444444444446,0,0,0,5,9,4,0.022222222222222223,4.169925001442313,2.0164925660401964,0.14285714285714285,6,unknown,0,0,0,0.0,unknown,1,unknown
uECC_vli_clear,0001051c,arm,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,2.3333333333333335,2,4,7,0.7402576607127483,0.15458937198067632,38,0,0.0,0.07317073170731707,0.0,0.0,0.0,0.04878048780487805,0,0,0,5,9,2,0.0,3.702819531114783,1.3981624162240203,0.2857142857142857,6,unknown,1,2,0,0.0,unknown,0,unknown
uECC_vli_isZero,0001052c,arm,gcc,O2,1,1,0,0,5,5,2,0,0,0.0,2.8,3,5,14,0.7548150383076002,0.11436821302267526,78,0,0.022222222222222223,0.07777777777777778,0.011111111111111112,0.0,0.0,0.044444444444444446,0,0,0,11,19,7,0.011111111111111112,4.675698135367987,1.7215396426877112,0.14285714285714285,13,unknown,2,3,0,0.2,unknown,1,unknown
uECC_vli_testBit,00010550,arm,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,7.0,2,1,7,1.0063189409626536,0.21818181818181817,54,0,0.01818181818181818,0.12727272727272726,0.01818181818181818,0.0,0.0,0.09090909090909091,0,0,0,12,22,3,0.01818181818181818,3.9477027792200903,1.6390393959351517,0.14285714285714285,6,unknown,0,0,0,0.0,unknown,1,unknown
uECC_vli_numBits,00010564,arm,gcc,O2,1,1,0,0,20,25,7,1,1,0.04,2.5,4,18,50,0.6139943615122151,0.08578684387507916,342,5,0.04195804195804196,0.05244755244755245,0.02097902097902098,0.0,0.0,0.06293706293706294,0,0,0,33,69,28,0.02097902097902098,5.416323750270034,2.0476883205757894,0.14,35,unknown,9,16,1,0.16,unknown,1,unknown
uECC_vli_set,000105dc,arm,gcc,O2,1,1,0,0,4,5,3,0,0,0.0,2.5,2,4,10,0.8580702139660303,0.10919540229885057,40,1,0.046875,0.046875,0.03125,0.0,0.0,0.03125,0,0,0,5,9,8,0.03125,4.23890125660263,1.8853998953311746,0.3,9,unknown,2,3,0,0.0,unknown,1,unknown
uECC_vli_cmp_unsafe,000105f8,arm,gcc,O2,1,1,0,0,9,9,2,1,1,0.1111111111111111,3.111111111111111,5,7,28,0.9733911938361854,0.1178013163307281,136,0,0.03424657534246575,0.07534246575342465,0.0410958904109589,0.0,0.0,0.0410958904109589,0,0,0,17,29,14,0.0410958904109589,5.014025805078415,1.8083331359439616,0.07142857142857142,22,unknown,4,5,1,0.2222222222222222,unknown,1,unknown
uECC_vli_equal,0001063c,arm,gcc,O2,1,1,0,0,5,5,2,0,0,0.0,4.4,3,5,22,0.9327674388056257,0.12037921039289028,134,0,0.02142857142857143,0.06428571428571428,0.02857142857142857,0.007142857142857143,0.0,0.04285714285714286,0,0,0,15,28,12,0.02857142857142857,5.182786866528777,1.696835646521438,0.09090909090909091,21,unknown,2,3,0,0.8,unknown,1,unknown
cond_set,00010678,arm,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,6.0,2,1,6,1.0118475207241322,0.2,28,0,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.06666666666666667,0,0,0,6,10,3,0.0,3.9477027792200903,1.733775615611495,0.16666666666666666,5,unknown,0,0,0,0.0,unknown,0,unknown
uECC_vli_sub,0001068c,arm,gcc,O2,1,1,0,0,5,5,2,0,0,0.0,4.8,3,5,24,0.8481829575235798,0.08874458874458875,104,0,0.04,0.04666666666666667,0.04666666666666667,0.0,0.0,0.013333333333333334,0,0,0,9,13,17,0.04666666666666667,4.913005759135987,1.6984168457191307,0.08333333333333333,23,unknown,2,3,0,0.4,unknown,1,unknown
uECC_vli_cmp,000106cc,arm,gcc,O2,1,1,0,0,7,8,3,0,0,0.0,5.857142857142857,3,7,41,0.6262015916891429,0.05462660981457974,200,1,0.045454545454545456,0.03409090909090909,0.05303030303030303,0.0,0.0,0.015151515151515152,0,0,56,13,21,33,0.05303030303030303,5.5234022098534785,1.6907582634684188,0.07317073170731707,38,unknown,3,5,0,0.375,unknown,1,unknown
uECC_vli_modAdd,00010734,arm,gcc,O2,1,1,0,0,16,23,9,4,4,0.17391304347826086,4.25,2,14,68,0.6842619203565585,0.051342730307094735,290,7,0.06190476190476191,0.030952380952380953,0.06428571428571428,0.0,0.0,0.023809523809523808,0,0,1,23,43,59,0.06428571428571428,5.8557121181212946,1.8819078009042378,0.1323529411764706,55,unknown,9,14,4,0.2608695652173913,unknown,1,unknown
x_side_default,000107e8,arm,gcc,O2,1,1,0,0,8,14,8,4,4,0.2857142857142857,9.5,1,10,76,0.6562563602230393,0.04475048216466981,188,6,0.11464968152866242,0.050955414012738856,0.11146496815286625,0.0,0.0,0.006369426751592357,0,0,136,18,22,55,0.11146496815286625,5.960142680088728,2.214196285402322,0.10526315789473684,57,unknown,4,10,4,0.5714285714285714,unknown,1,unknown
uECC_vli_modSub,000108b8,arm,gcc,O2,1,1,0,0,8,10,4,0,0,0.0,5.5,2,8,44,0.7968559257738304,0.040469824293353704,156,2,0.0916030534351145,0.03435114503816794,0.09541984732824428,0.0,0.0,0.007633587786259542,0,0,1,11,15,44,0.09541984732824428,5.445433679080349,1.9371921854530099,0.09090909090909091,37,unknown,4,6,0,0.4,unknown,1,unknown
double_jacobian_default,00010934,arm,gcc,O2,1,1,0,0,19,46,29,18,18,0.391304347826087,12.105263157894736,2,22,230,0.9541320402701718,0.06387575476212191,552,27,0.10718954248366012,0.07581699346405228,0.10588235294117647,0.0,0.0,0.018300653594771243,0,0,200,72,100,117,0.10588235294117647,6.0224005838332815,2.2763635287929174,0.12608695652173912,101,unknown,10,36,18,0.782608695652174,unknown,1,unknown
XYcZ_addC,00010b98,arm,gcc,O2,1,1,0,0,3,23,22,19,19,0.8260869565217391,54.666666666666664,1,7,164,1.4862431044110502,0.11728395061728396,318,20,0.13488372093023257,0.10930232558139535,0.14186046511627906,0.0,0.0,0.004651162790697674,0,0,228,49,53,71,0.14186046511627906,5.290058718036149,2.3791519549233735,0.13414634146341464,41,unknown,1,22,19,1.8695652173913044,unknown,1,unknown
uECC_vli_mmod,00010d38,arm,gcc,O2,1,1,0,0,27,45,20,6,5,0.13333333333333333,6.814814814814815,1,20,184,0.7210895689838511,0.06378712846246862,768,18,0.06435643564356436,0.03762376237623762,0.0504950495049505,0.0,0.0,0.053465346534653464,0,0,196,92,200,144,0.0504950495049505,6.594402144419512,2.118365409032741,0.10869565217391304,152,unknown,16,29,6,0.5555555555555556,unknown,1,unknown
uECC_vli_modMult,00010f40,arm,gcc,O2,1,1,0,0,1,2,3,2,2,1.0,16.0,1,3,16,1.6600486526504978,0.07142857142857142,22,1,0.125,0.07142857142857142,0.19642857142857142,0.0,0.0,0.0,0,0,89,4,4,13,0.19642857142857142,4.233997907838829,2.514907070595782,0.1875,10,unknown,0,2,2,0.0,unknown,1,unknown
uECC_vli_modMult_fast,00010f68,arm,gcc,O2,1,1,0,0,1,1,2,1,1,1.0,14.0,1,2,14,1.704427037599118,0.11320754716981132,26,0,0.1320754716981132,0.11320754716981132,0.18867924528301888,0.0,0.0,0.0,0,0,80,6,6,12,0.18867924528301888,4.314972767530033,2.5427728145164394,0.14285714285714285,11,unknown,0,1,1,0.0,unknown,1,unknown
uECC_vli_modInv,00010f8c,arm,gcc,O2,1,1,0,0,53,91,40,15,15,0.16483516483516483,6.320754716981132,1,12,335,0.8588368719767999,0.04320185423058099,1014,38,0.09925220938137322,0.030591434398368457,0.09177430319510536,0.0,0.0,0.019034670292318152,0,0,248,73,129,229,0.09177430319510536,6.481534806455541,2.0636412069414387,0.11940298507462686,147,unknown,30,61,15,0.34065934065934067,unknown,1,unknown
EccPoint_isZero,000112e8,arm,gcc,O2,1,1,0,0,5,5,2,0,0,0.0,4.0,3,5,20,0.8681301684090033,0.12468193851287135,132,0,0.024390243902439025,0.06504065040650407,0.016260162601626018,0.0,0.0,0.04878048780487805,0,0,0,14,26,10,0.016260162601626018,4.923352380525775,1.6435149632792545,0.1,19,unknown,2,3,0,0.4,unknown,1,unknown
apply_z,00011318,arm,gcc,O2,1,1,0,0,1,4,5,4,4,1.0,45.0,0,2,45,1.8179906239079786,0.1323529411764706,86,3,0.1323529411764706,0.1323529411764706,0.16176470588235295,0.0,0.0,0.0,0,0,128,18,18,27,0.16176470588235295,4.66549975323657,2.4473003458360227,0.1111111111111111,16,unknown,0,4,4,0.0,unknown,1,unknown
XYcZ_add,00011390,arm,gcc,O2,1,1,0,0,3,17,16,13,13,0.7647058823529411,38.666666666666664,1,6,116,1.4979463363943724,0.11835879005690327,228,14,0.12302839116719243,0.11041009463722397,0.138801261829653,0.0,0.0,0.006309148264984227,0,0,156,37,41,52,0.138801261829653,5.186500716170353,2.3324417099544084,0.13793103448275862,35,unknown,1,16,13,1.8235294117647058,unknown,1,unknown
EccPoint_mult,000114c4,arm,gcc,O2,1,1,0,0,15,41,28,15,15,0.36585365853658536,14.333333333333334,1,24,215,1.2776109759172565,0.059081788956549114,572,26,0.11201079622132254,0.07017543859649122,0.09041835357624832,0.0,0.0,0.02564102564102564,0,0,312,71,109,111,0.09041835357624832,6.203333481154574,2.301742790049968,0.13023255813953488,101,unknown,6,35,15,1.048780487804878,unknown,1,unknown
regularize_k,000116e8,arm,gcc,O2,1,1,0,0,12,18,8,5,5,0.2777777777777778,6.416666666666667,1,12,77,0.8023930300626656,0.0705379606758811,284,6,0.08352668213457076,0.037122969837587005,0.06960556844547564,0.0,0.0,0.03944315545243619,0,0,48,33,67,68,0.06960556844547564,6.011626718784939,2.221182103446977,0.1038961038961039,60,unknown,7,11,5,0.6666666666666666,unknown,1,unknown
EccPoint_compute_public_key,000117d0,arm,gcc,O2,1,1,0,0,5,7,4,2,2,0.2857142857142857,9.6,2,7,48,1.0379602129703085,0.07518624316697255,210,2,0.09282700421940929,0.046413502109704644,0.07172995780590717,0.0,0.0,0.03375527426160337,0,0,96,19,35,36,0.07172995780590717,5.709196721524646,2.158305238346306,0.08333333333333333,45,unknown,2,5,2,0.8571428571428571,unknown,1,unknown
uECC_vli_nativeToBytes,00011840,arm,gcc,O2,1,1,0,0,4,5,3,0,0,0.0,4.75,2,4,19,0.8952042138150974,0.06904761904761905,100,1,0.04838709677419355,0.056451612903225805,0.06451612903225806,0.0,0.0,0.04032258064516129,0,0,0,12,22,15,0.06451612903225806,4.779780045430954,1.910646830650663,0.15789473684210525,18,unknown,2,3,0,1.0,unknown,1,unknown
uECC_vli_bytesToNative,00011874,arm,gcc,O2,1,1,0,0,5,8,5,0,0,0.0,7.8,1,6,39,0.9465639221904206,0.0817965367965368,190,3,0.050387596899224806,0.04263565891472868,0.04263565891472868,0.0,0.0,0.04263565891472868,0,0,0,22,44,28,0.04263565891472868,5.532243595187428,1.938886095038891,0.1282051282051282,38,unknown,3,5,0,0.75,unknown,1,unknown
uECC_generate_random_int,000118d8,arm,gcc,O2,1,1,0,0,14,26,14,2,1,0.07692307692307693,7.142857142857143,2,7,100,0.7075167450580881,0.04148472998132524,400,12,0.08253358925143954,0.046065259117082535,0.07869481765834933,0.0,0.0,0.030710172744721688,0,0,96,40,72,82,0.07869481765834933,6.157530737092244,2.0886334706115237,0.14,81,unknown,10,16,2,0.8461538461538461,unknown,1,unknown
uECC_valid_point,000119e0,arm,gcc,O2,1,1,0,0,19,29,12,4,4,0.13793103448275862,4.842105263157895,2,16,92,0.7380145632668635,0.06922188707103229,388,10,0.06832298136645963,0.049689440993788817,0.06418219461697723,0.002070393374741201,0.0,0.033126293995859216,0,0,128,40,73,66,0.06418219461697723,6.259938892089375,2.186727107545692,0.13043478260869565,70,unknown,11,18,4,0.27586206896551724,unknown,1,unknown
uECC_valid_public_key,00011ad8,arm,gcc,O2,1,1,0,0,6,10,6,4,4,0.4,5.666666666666667,2,6,34,0.9335462629079982,0.04166435300868084,74,4,0.1346153846153846,0.05128205128205128,0.14102564102564102,0.0,0.0,0.01282051282051282,0,0,88,10,14,34,0.14102564102564102,5.449611266766045,2.641814802253528,0.17647058823529413,26,unknown,3,7,4,0.0,unknown,1,unknown
uECC_compute_public_key,00011b38,arm,gcc,O2,1,1,0,0,17,28,13,3,3,0.10714285714285714,7.352941176470588,3,19,125,0.7287759483131083,0.04882825263416701,550,11,0.07053941908713693,0.034578146611341634,0.04702627939142462,0.0,0.0,0.027662517289073305,0,0,128,45,85,93,0.04702627939142462,6.320285831958667,1.9328895278037233,0.104,100,unknown,11,17,3,0.7142857142857143,unknown,1,unknown
